Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
106,Houssem Aouar,fr FRA,"MF,FW",Lyon,fr Ligue 1,23,27.8,1446,1379,64,23,13,10,21,15,10,6,0,0,1243,3,29
107,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,fr Ligue 1,19,12.0,614,550,61,18,1,18,68,3,38,14,14,0,457,3,14
108,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,23.3,1001,856,141,10,1,0,38,131,0,0,0,0,756,4,18
109,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,25,29.6,1266,1104,157,88,0,32,116,2,66,28,34,0,933,5,29
110,Mattia Aramu,it ITA,"MF,FW",Venezia,it Serie A,26,23.3,795,603,184,43,6,6,144,21,66,33,28,0,524,8,24
111,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,32,17.5,1094,1035,53,44,7,13,9,8,1,0,1,0,916,6,27
112,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,29.1,1555,1509,41,38,0,8,3,3,0,0,0,0,1326,5,8
113,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,25.2,1662,1566,92,47,0,21,7,44,0,0,0,0,1491,4,6
114,Cameron Archer,eng ENG,"FW,MF",Aston Villa,eng Premier League,20,0.3,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
115,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1.0,40,23,17,3,0,0,0,0,0,0,0,0,21,0,0
116,Jesús Areso,es ESP,DF,Osasuna,es La Liga,22,2.1,73,40,33,0,0,0,2,33,0,0,0,0,49,0,0
117,Matias Arezo,uy URU,"FW,MF",Granada,es La Liga,18,1.8,38,35,3,1,0,0,4,1,0,0,0,0,18,0,1
118,Santiago Arias,co COL,DF,Granada,es La Liga,29,4.9,218,166,50,1,0,0,15,49,0,0,0,0,153,2,2
119,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,24,15.7,324,283,40,0,4,1,18,2,0,0,0,0,229,1,6
120,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,29,16.4,744,701,40,3,3,2,35,8,2,0,1,0,590,3,25
121,Marko Arnautović,at AUT,FW,Bologna,it Serie A,32,29.9,908,851,51,1,4,1,12,9,0,0,0,0,659,6,24
122,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,27,33.3,1869,1602,255,145,5,40,182,7,102,63,33,1,1453,12,21
123,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,4.0,138,110,28,7,0,0,0,0,0,0,0,0,115,0,0
124,Tolgay Arslan,de GER,MF,Udinese,it Serie A,30,18.4,677,649,28,19,2,2,33,1,7,2,5,0,532,0,13
125,Arthur,br BRA,FW,Fiorentina,it Serie A,23,8.3,142,126,16,0,1,2,2,0,0,0,0,0,110,0,5
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
126,Santiago Arzamendia,py PAR,MF,Cádiz,es La Liga,23,5.2,170,145,21,4,0,1,18,12,5,3,2,0,105,4,4
127,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,26,17.9,378,372,5,0,4,2,34,4,0,0,0,0,244,1,24
128,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,24,26.4,1168,1100,63,55,1,4,2,6,0,0,0,0,959,5,24
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,6.0,228,166,60,4,0,1,0,0,0,0,0,0,185,2,0
130,Alejandro Asensio,es ESP,FW,Rayo Vallecano,es La Liga,20,0.1,8,8,0,0,0,1,1,0,0,0,0,0,7,0,0
131,Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,25,19.2,894,809,80,14,0,14,71,16,45,26,3,0,731,5,24
132,Harrison Ashby,sct SCO,DF,West Ham,eng Premier League,19,0.1,7,6,1,0,0,0,0,1,0,0,0,0,7,0,0
133,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,20,8.4,226,215,8,5,0,1,2,2,0,0,0,0,147,3,5
134,Fisnik Asllani,xk KVX,"MF,FW",Hoffenheim,de Bundesliga,18,0.1,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0
135,Kristjan Asllani,al ALB,MF,Empoli,it Serie A,19,15.0,779,718,60,36,1,6,29,4,19,9,7,0,638,1,7
136,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,33,34.3,1371,1266,97,38,11,17,108,18,32,21,5,0,968,8,47
137,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,21,6.8,383,300,81,4,0,0,21,77,0,0,0,0,306,2,13
138,Simon Asta,de GER,DF,Greuther Fürth,de Bundesliga,20,8.7,401,308,92,2,0,2,16,90,0,0,0,0,282,1,13
139,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,25,12.7,738,617,120,8,4,2,54,111,1,0,0,0,556,1,17
140,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,32,11.5,208,204,2,0,2,0,11,1,0,0,0,0,137,2,9
141,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,32,12.0,238,218,20,0,2,0,5,0,0,0,0,0,176,0,7
142,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,28.4,1005,698,300,88,0,2,0,0,0,0,0,0,706,7,0
143,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,26,26.6,1368,1094,271,34,1,3,74,233,4,0,0,0,1050,3,48
