Rk,Player,Nation,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
81,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29-117,27.7,2,0,0,22,33,9,26,10,30,0,0,0,139,6,10,37.5
82,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32-161,13.0,3,0,0,10,8,0,23,11,10,0,1,0,85,26,10,72.2
83,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33-330,15.1,2,1,0,19,15,0,27,35,23,0,1,1,89,32,27,54.2
84,Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,de Bundesliga,30-099,2.6,3,0,0,5,0,0,2,3,4,0,0,0,18,4,1,80.0
85,Carlos Álvarez,es ESP,FW,Sevilla,es La Liga,19-305,0.1,1,0,0,1,0,0,0,0,1,,,0,,,,
86,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23-075,16.7,7,1,0,27,12,0,23,15,30,0,1,0,53,31,31,50.0
87,Julián Álvarez,ar ARG,"FW,MF",Manchester City,eng Premier League,23-127,16.3,0,0,0,21,14,3,26,2,16,1,0,0,44,8,23,25.8
88,Agustín Álvarez Martínez,uy URU,"FW,MF",Sassuolo,it Serie A,22-019,4.1,1,0,0,8,4,2,4,3,3,0,0,0,20,8,12,40.0
89,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28-134,25.9,7,1,0,22,22,1,9,48,23,0,2,0,194,55,39,58.5
90,Ibrahim Amadou,fr FRA,"DF,MF",Angers,fr Ligue 1,30-062,4.7,2,0,0,4,3,0,1,10,7,0,2,0,29,6,5,54.5
91,Selim Amallah,ma MAR,"MF,FW",Valladolid,es La Liga,26-204,3.0,2,1,0,10,8,1,2,5,9,0,0,0,10,7,8,46.7
92,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,28-168,17.9,1,0,0,7,3,0,0,8,8,0,1,0,108,34,26,56.7
93,Amath,sn SEN,"MF,FW",Mallorca,es La Liga,26-326,13.6,2,1,0,35,24,7,16,5,19,1,0,0,62,8,19,29.6
94,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,29-090,2.2,2,1,1,3,2,1,6,4,2,0,0,0,15,8,3,72.7
95,Lukáš Ambros,cz CZE,MF,Wolfsburg,de Bundesliga,19-002,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
96,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,25-119,26.3,7,1,1,37,5,1,39,22,32,0,2,0,107,34,35,49.3
97,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21-155,0.6,1,0,0,3,0,0,0,0,1,0,0,0,5,1,0,100.0
98,Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,21-155,23.2,10,1,1,24,16,0,5,25,33,0,1,0,121,68,43,61.3
99,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,26-223,10.9,6,0,0,14,25,4,16,6,6,0,0,0,75,1,10,9.1
100,Samuel Amo-Ameyaw,eng ENG,MF,Southampton,eng Premier League,16-324,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
101,Ethan Ampadu,wls WAL,"DF,MF",Spezia,it Serie A,22-266,29.3,11,1,1,44,20,1,11,36,37,0,2,0,203,61,40,60.4
102,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,26-290,22.2,11,0,0,54,28,0,26,21,24,0,2,0,157,11,13,45.8
103,Ayoub Amraoui,ma MAR,"DF,FW",Nice,fr Ligue 1,19-024,3.3,1,0,0,5,2,0,14,4,5,0,0,0,12,0,1,0.0
104,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,27-007,30.9,8,0,0,27,16,2,10,24,22,0,0,2,180,87,34,71.9
105,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,20-213,4.6,0,0,0,6,10,1,9,6,5,0,0,0,29,11,5,68.8
106,Felipe Anderson,br BRA,FW,Lazio,it Serie A,30-053,32.9,3,0,0,40,33,7,50,31,50,1,0,0,142,14,21,40.0
107,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,32-308,32.4,12,0,0,57,39,1,14,47,74,1,0,0,278,91,61,59.9
108,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,27-341,16.1,4,0,0,16,41,7,1,8,5,1,1,0,37,45,59,43.3
109,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,28-258,26.7,7,0,0,35,20,0,4,42,38,0,0,1,153,56,43,56.6
110,Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,26-154,29.1,2,0,0,12,29,7,179,25,24,0,0,0,148,15,27,35.7
111,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,29-084,6.5,2,1,0,7,1,0,12,7,9,0,1,0,19,17,10,63.0
112,Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,eng Premier League,23-188,14.0,2,0,0,9,12,5,43,10,17,0,0,0,80,10,12,45.5
113,Janis Antiste,fr FRA,FW,Sassuolo,it Serie A,20-293,0.6,0,0,0,4,0,0,0,0,0,0,0,0,4,2,1,66.7
114,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26-322,32.6,4,0,0,31,31,1,31,38,27,0,0,0,231,55,50,52.4
115,Josep Antoni Gayá,es ESP,"DF,MF",Mallorca,es La Liga,22-335,1.1,0,0,0,0,0,0,0,1,0,0,0,0,5,1,1,50.0
116,José Antonio,es ESP,"MF,DF",Cádiz,es La Liga,18-314,0.5,0,0,0,0,4,0,1,0,1,0,0,0,2,0,0,
117,Marcos Antônio,br BRA,MF,Lazio,it Serie A,22-359,6.6,2,0,0,9,15,0,0,11,6,0,0,0,42,0,4,0.0
118,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33-071,20.3,2,0,0,28,44,12,35,5,7,0,1,0,43,50,88,36.2
119,Antony,br BRA,FW,Manchester Utd,eng Premier League,23-103,20.0,5,0,0,15,25,2,32,11,9,0,0,0,99,5,19,20.8
120,Valentin Antov,bg BUL,DF,Monza,it Serie A,22-210,3.4,2,0,0,4,2,0,2,4,5,0,0,0,24,6,11,35.3
