Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
289,Valter Birsa,si SVN,"MF,FW",Chievo,it Serie A,31,12.2,49,4.01,33,10,3,2,1,0,4,0.33,3,1,0,0,0,0
290,Yves Bissouma,ml MLI,MF,Brighton,eng Premier League,21,19.7,54,2.74,35,1,10,2,6,0,2,0.10,1,0,0,0,1,0
291,Leonardo Bittencourt,de GER,MF,Hoffenheim,de Bundesliga,24,11.9,53,4.46,37,6,0,4,5,1,6,0.51,5,0,0,1,0,0
292,Alejandro Blanco,es ESP,"FW,MF",Alavés,es La Liga,19,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
293,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,23,25.0,3,0.12,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
294,Ludovic Blas,fr FRA,"MF,FW",Guingamp,fr Ligue 1,20,26.4,56,2.12,44,0,4,4,2,2,10,0.38,9,0,0,1,0,0
295,Pablo de Blasis,ar ARG,"DF,MF",Eibar,es La Liga,30,16.9,46,2.72,40,3,1,0,1,1,1,0.06,1,0,0,0,0,0
296,Pablo de Blasis,ar ARG,FW,Mainz 05,de Bundesliga,30,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
297,Alexis Blin,fr FRA,MF,Amiens,fr Ligue 1,21,22.1,25,1.13,22,0,0,0,1,2,2,0.09,2,0,0,0,0,0
298,Danny Blum,de GER,MF,Eint Frankfurt,de Bundesliga,27,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
299,Emmanuel Boateng,gh GHA,FW,Levante,es La Liga,22,7.8,18,2.32,8,0,1,3,5,1,3,0.39,1,0,0,1,1,0
300,Jérôme Boateng,de GER,DF,Bayern Munich,de Bundesliga,29,18.8,30,1.59,27,0,1,2,0,0,5,0.27,5,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
301,Kevin-Prince Boateng,gh GHA,FW,Sassuolo,it Serie A,31,10.4,29,2.78,26,0,0,1,2,0,4,0.38,3,0,0,1,0,0
302,Kevin-Prince Boateng,gh GHA,FW,Barcelona,es La Liga,31,2.7,3,1.13,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
303,Antonin Bobichon,fr FRA,MF,Nîmes,fr Ligue 1,22,23.9,65,2.72,43,10,3,7,1,1,4,0.17,0,2,0,1,1,0
304,Yann Bodiger,fr FRA,MF,Toulouse,fr Ligue 1,23,0.1,1,6.92,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
305,Mathieu Bodmer,fr FRA,"MF,FW",Amiens,fr Ligue 1,35,11.9,28,2.35,24,0,0,1,2,1,2,0.17,1,0,0,1,0,0
306,Adam Bodzek,de GER,"MF,DF",Düsseldorf,de Bundesliga,32,17.7,26,1.47,19,2,0,0,3,2,3,0.17,2,0,0,0,0,1
307,Jean-Paul Boëtius,nl NED,MF,Mainz 05,de Bundesliga,24,23.6,83,3.51,63,0,6,4,8,2,11,0.47,10,0,1,0,0,0
308,Sacha Boey,fr FRA,DF,Rennes,fr Ligue 1,17,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
309,Jeremie Boga,ci CIV,"FW,MF",Sassuolo,it Serie A,21,16.0,41,2.56,24,0,9,3,5,0,4,0.25,2,0,1,1,0,0
