Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
48,Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,28,18.1,1005,39,203,416,402,27,1005,55,20,36.4,35,63.6,633,3260,1410,54,30,3,35,23,656,172
49,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,24,13.5,396,6,17,171,210,68,395,8,6,75.0,2,25.0,195,709,289,12,9,9,19,13,287,70
50,Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,20.8,1110,178,647,435,35,18,1110,5,4,80.0,1,20.0,530,2477,1404,13,7,1,7,5,600,3
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,27,26.8,2830,39,488,1865,505,29,2830,67,57,85.1,10,14.9,1698,8863,4874,49,60,4,21,28,2094,56
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,27,33.1,2152,93,559,1332,288,21,2151,30,23,76.7,7,23.3,1201,6376,3051,45,33,3,33,40,1324,21
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,32.5,2690,270,1244,1360,107,18,2690,2,1,50.0,1,50.0,1848,8658,4863,25,25,0,6,0,1922,5
54,Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,es La Liga,25,1.6,56,0,4,27,25,8,56,8,6,75.0,2,25.0,36,183,78,4,3,3,10,4,41,7
55,Alexis Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,0.1,3,0,0,1,2,0,3,0,0,,0,,1,6,6,0,0,0,0,0,2,0
56,Iván Alejo,es ESP,MF,Getafe,es La Liga,23,1.6,67,1,12,30,27,1,67,10,4,40.0,6,60.0,41,462,177,7,7,0,4,5,42,10
