Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
31,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22-162,7.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
32,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,21-117,12.2,0,9,3,33.3,0.74,0.25,0.00,0.00,15.6,0,0,0,0.8,0.8,0.09,-0.8,-0.8
33,Felix Agu,de GER,"DF,FW",Werder Bremen,de Bundesliga,23-252,0.5,0,1,0,0.0,1.84,0.00,0.00,,15.9,0,0,0,0.0,0.0,0.04,0.0,0.0
34,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,27-036,21.0,1,20,6,30.0,0.95,0.29,0.05,0.17,24.6,1,0,0,1.0,1.0,0.05,0.0,0.0
35,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,24-204,23.7,0,28,7,25.0,1.18,0.30,0.00,0.00,21.4,0,0,0,1.5,1.5,0.05,-1.5,-1.5
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27-068,17.7,2,12,2,16.7,0.68,0.11,0.17,1.00,9.9,0,0,0,2.2,2.2,0.19,-0.2,-0.2
37,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,30-041,13.0,0,4,2,50.0,0.31,0.15,0.00,0.00,17.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
38,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,21-069,1.0,0,3,0,0.0,2.87,0.00,0.00,,15.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
39,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,21-069,15.5,2,16,5,31.3,1.03,0.32,0.13,0.40,22.1,0,0,0,0.8,0.8,0.05,+1.2,+1.2
40,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,19-107,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
41,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,29-078,14.4,3,21,8,38.1,1.45,0.55,0.14,0.38,25.0,0,0,0,1.2,1.2,0.06,+1.8,+1.8
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27-250,34.7,3,14,3,21.4,0.40,0.09,0.21,1.00,13.2,0,0,0,1.0,1.0,0.07,+2.0,+2.0
43,Ola Aina,ng NGA,DF,Torino,it Serie A,26-241,9.7,1,8,3,37.5,0.82,0.31,0.13,0.33,15.2,0,0,0,0.8,0.8,0.10,+0.2,+0.2
44,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,22-000,12.0,1,10,5,50.0,0.84,0.42,0.10,0.20,14.1,0,0,0,0.7,0.7,0.07,+0.3,+0.3
45,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,22-163,18.4,0,3,1,33.3,0.16,0.05,0.00,0.00,17.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,25-050,8.5,0,1,0,0.0,0.12,0.00,0.00,,6.0,0,0,0,0.0,0.0,0.04,0.0,0.0
47,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,29-101,8.6,1,22,7,31.8,2.57,0.82,0.00,0.00,15.1,1,1,1,3.4,2.6,0.12,-2.4,-2.6
48,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,de Bundesliga,29-101,13.5,6,32,14,43.8,2.38,1.04,0.19,0.43,14.8,0,0,0,4.6,4.6,0.14,+1.4,+1.4
49,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27-322,25.4,0,15,2,13.3,0.59,0.08,0.00,0.00,15.9,0,0,0,1.3,1.3,0.09,-1.3,-1.3
50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28-108,20.8,1,9,2,22.2,0.43,0.10,0.11,0.50,10.5,0,0,0,1.6,1.6,0.17,-0.6,-0.6
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
51,Sergio Akieme,es ESP,DF,Almería,es La Liga,25-172,25.5,1,23,7,30.4,0.90,0.27,0.04,0.14,20.2,0,0,0,1.5,1.5,0.07,-0.5,-0.5
52,Babatunde Akinsola,ng NGA,FW,Valladolid,es La Liga,20-088,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
53,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,21-101,4.5,0,5,2,40.0,1.12,0.45,0.00,0.00,14.9,0,0,0,0.5,0.5,0.09,-0.5,-0.5
54,Paul Akouokou,ci CIV,"MF,DF",Betis,es La Liga,25-168,5.0,0,3,1,33.3,0.60,0.20,0.00,0.00,19.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
55,Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Empoli,it Serie A,30-238,15.1,1,14,5,35.7,0.93,0.33,0.07,0.20,19.5,0,0,0,1.5,1.5,0.10,-0.5,-0.5
56,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28-048,21.7,0,8,1,12.5,0.37,0.05,0.00,0.00,19.3,0,0,0,0.6,0.6,0.08,-0.6,-0.6
57,David Alaba,at AUT,DF,Real Madrid,es La Liga,30-347,20.4,1,14,3,21.4,0.69,0.15,0.07,0.33,19.8,5,0,0,0.8,0.8,0.06,+0.2,+0.2
58,Ángel Alarcón,es ESP,"MF,FW",Barcelona,es La Liga,19-022,0.3,0,1,1,100.0,3.60,3.60,0.00,0.00,15.1,0,0,0,0.0,0.0,0.04,0.0,0.0
59,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,24-138,2.5,0,2,1,50.0,0.81,0.40,0.00,0.00,36.4,0,0,0,0.0,0.0,0.01,0.0,0.0
60,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,de Bundesliga,30-241,3.7,1,11,4,36.4,2.99,1.09,0.09,0.25,14.7,0,0,0,1.4,1.4,0.13,-0.4,-0.4
61,Jordi Alba,es ESP,DF,Barcelona,es La Liga,34-077,15.8,2,13,4,30.8,0.82,0.25,0.15,0.50,23.3,0,0,0,0.8,0.8,0.06,+1.2,+1.2
62,Luis Alberto,es ESP,MF,Lazio,it Serie A,30-251,27.1,6,45,17,37.8,1.66,0.63,0.11,0.29,23.2,4,1,2,4.4,2.7,0.06,+1.6,+2.3
63,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37-275,23.5,0,2,1,50.0,0.08,0.04,0.00,0.00,25.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
