Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,27,33.1,96,54,50,40,6,32,89,36.0,57,59,10,49,38,134,52,1
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,32.5,37,23,25,10,2,12,22,54.5,10,41,22,19,24,61,175,0
54,Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,es La Liga,25,1.6,1,1,0,1,0,0,3,0.0,3,1,0,1,0,1,0,0
55,Alexis Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,0.1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
56,Iván Alejo,es ESP,MF,Getafe,es La Liga,23,1.6,2,0,0,2,0,0,4,0.0,4,2,0,2,0,2,3,0
57,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,20,7.1,7,4,0,6,1,2,8,25.0,6,4,0,4,2,9,0,0
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,25.0,2,0,2,0,0,2,6,33.3,4,0,0,0,1,3,7,2
59,Alexander,ar ARG,FW,Leganés,es La Liga,29,0.1,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
60,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,27.4,61,39,31,22,8,36,68,52.9,32,19,3,16,35,96,68,0
61,Rachid Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,13.9,15,5,3,9,3,4,9,44.4,5,8,1,7,10,25,11,0
62,Alisson,br BRA,GK,Liverpool,eng Premier League,25,38.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,14,6
63,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,13.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,16,1
64,Allan,br BRA,MF,Napoli,it Serie A,27,29.1,106,70,39,55,12,36,107,33.6,71,55,13,42,36,142,28,0
65,Allan,br BRA,MF,Eint Frankfurt,de Bundesliga,21,2.0,4,4,2,2,0,0,4,0.0,4,4,2,2,0,4,1,0
66,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,22,20.3,33,19,6,14,13,5,24,20.8,19,33,5,28,19,52,20,0
67,Miguel Almirón,py PAR,MF,Newcastle Utd,eng Premier League,24,8.4,20,12,7,10,3,4,10,40.0,6,14,1,13,8,28,5,0
68,Júnior Alonso,py PAR,"DF,MF",Celta Vigo,es La Liga,25,6.0,13,9,8,4,1,7,12,58.3,5,8,3,5,5,18,24,1
69,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,30.7,73,46,44,22,7,33,58,56.9,25,25,2,23,39,112,101,0
70,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,29,6.3,10,5,6,1,3,3,4,75.0,1,3,1,2,9,19,30,0
71,Sergio Álvarez,es ESP,"DF,MF",Eibar,es La Liga,26,11.9,34,25,12,20,2,13,23,56.5,10,9,4,5,17,51,43,0
72,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,13.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
73,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,29.0,55,30,39,14,2,19,33,57.6,14,35,16,19,63,118,149,1
74,Bruno Alves,pt POR,DF,Parma,it Serie A,36,32.5,15,8,11,4,0,4,7,57.1,3,36,28,8,29,44,210,0
75,Dani Alves,br BRA,"MF,DF",Paris S-G,fr Ligue 1,35,18.0,42,22,16,23,3,13,38,34.2,25,18,5,13,8,50,11,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
76,Alfons Amade,de GER,MF,Hoffenheim,de Bundesliga,18,0.1,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0
77,Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,es La Liga,25,8.5,27,20,9,15,3,2,9,22.2,7,7,4,3,11,38,24,0
78,Romain Amalfitano,fr FRA,"MF,FW",Dijon,fr Ligue 1,28,28.0,52,33,20,28,4,25,67,37.3,42,45,13,32,47,99,35,0
79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23,7.1,18,12,11,6,1,10,15,66.7,5,6,4,2,17,35,28,1
80,Jordi Amat,id IDN,DF,Rayo Vallecano,es La Liga,26,30.7,54,31,34,19,1,24,42,57.1,18,31,10,21,43,97,133,1
81,Amath,sn SEN,MF,Getafe,es La Liga,22,11.1,20,13,7,11,2,6,27,22.2,21,17,0,17,10,30,12,0
82,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,24.2,74,50,34,26,14,35,56,62.5,21,24,8,16,46,120,93,4
83,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,32.0,68,45,54,12,2,20,30,66.7,10,36,13,23,36,104,113,1
84,Nadiem Amiri,de GER,MF,Hoffenheim,de Bundesliga,21,8.4,14,9,8,4,2,3,13,23.1,10,11,0,11,7,21,4,0
85,Yanis Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
86,Luke Amos,eng ENG,MF,Tottenham,eng Premier League,21,0.0,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
